id,rubro,nomrub,subrubro,nomsub,codigo,nombre,unidades,precio,venta
0000001,0,,0,,0,Art. Inexistente,224,0,25172743
 1    1,1,Bebidas s/a,0,,1,Agua sin gas,4524,0,"12365068,7"
 1    2,1,Bebidas s/a,0,,2,Agua con gas,1254,0,"3379097,11"
 1    4,1,Bebidas s/a,0,,4,Pepsi light,2,0,6700
 1    5,1,Bebidas s/a,0,,5,7up,1,0,3050
 1    6,1,Bebidas s/a,0,,6,7up free,1,0,3050
 1    7,1,Bebidas s/a,0,,7,Mirinda,1,0,3350
 1    8,1,Bebidas s/a,0,,8,Paso Tonica,2,0,6700
 1    9,1,Bebidas s/a,0,,9,Paso DLT pomelo,13,0,"25901,28"
 1   10,1,Bebidas s/a,0,,10,Corona,2152,0,"11220430,4"
 1   12,1,Bebidas s/a,0,,12,Stella,28,0,140120
 1   13,1,Bebidas s/a,0,,13,Michelada,481,0,"2745368,93"
 1   26,1,Bebidas s/a,0,,26,Caipi,6,0,47400
 1   27,1,Bebidas s/a,0,,27,Margarita FROZEN,4816,0,"23678808,1"
 1   28,1,Bebidas s/a,0,,28,Caipiroska,299,0,"2231786,76"
 1   29,1,Bebidas s/a,0,,29,Caipiroska maracuya,511,0,"4379611,45"
 1   30,1,Bebidas s/a,0,,30,Caipirinha,303,0,"2309837,27"
 1   31,1,Bebidas s/a,0,,31,Caipirinha maracuya,146,0,"1285783,68"
 1   32,1,Bebidas s/a,0,,32,Daiquiri,461,0,"3591063,67"
 1   33,1,Bebidas s/a,0,,33,Mojito,381,0,2973735
 1   34,1,Bebidas s/a,0,,34,Mojito maracuya,22,0,199200
 1   35,1,Bebidas s/a,0,,35,Cuba libre,67,0,"367498,9"
 1   37,1,Bebidas s/a,0,,37,Fernet cola,269,0,"1451177,55"
 1   39,1,Bebidas s/a,0,,39,MEXICAN Bulldog,889,0,15556818
 1   40,1,Bebidas s/a,0,,40,Medio Mexican,71,0,"606536,85"
 1   41,1,Bebidas s/a,0,,41,TEXAS Bulldog,222,0,"4331384,5"
 1   42,1,Bebidas s/a,0,,42,Medio texas,27,0,"235628,29"
 1   43,1,Bebidas s/a,0,,43,Limenta,5,0,39095
 1   44,1,Bebidas s/a,0,,44,Gin tonic,532,0,"3758173,88"
 1   45,1,Bebidas s/a,0,,45,Negroni,81,0,"611636,96"
 1   46,1,Bebidas s/a,0,,46,Aperol Spritz,430,0,3400000
 1   47,1,Bebidas s/a,0,,47,Campari,155,0,"1077132,53"
 1   48,1,Bebidas s/a,0,,48,Pisco sour,137,0,1191085
 1   49,1,Bebidas s/a,0,,49,Old Fashioned,16,0,"133110,19"
 1   50,1,Bebidas s/a,0,,50,Cynar julep,227,0,"1774411,86"
 1   52,1,Bebidas s/a,0,,52,Andes Negra,44,0,"238800,02"
 1   53,1,Bebidas s/a,0,,53,Skyy,2,0,8400
 1   54,1,Bebidas s/a,0,,54,Ron Barcelo,1,0,3450
 1   55,1,Bebidas s/a,0,,55,Cuervo silver,7,0,67120
 1   57,1,Bebidas s/a,0,,57,DF,88,0,189000
 1   58,1,Bebidas s/a,0,,58,DF Gold,5,0,25500
 1   59,1,Bebidas s/a,0,,59,Absolut,14,0,58600
 1   62,1,Bebidas s/a,0,,62,Johnnie Black,7,0,63000
 1   64,1,Bebidas s/a,0,,64,Jack Daniels,5,0,37900
 1   66,1,Bebidas s/a,0,,66,Beefeater gin,13,0,51800
 1   67,1,Bebidas s/a,0,,67,Cinzano,13,0,27000
 1   68,1,Bebidas s/a,0,,68,Fernet,1,0,3450
 1   69,1,Bebidas s/a,0,,69,Jagermeister,6,0,"29050,08"
 1   70,1,Bebidas s/a,0,,70,Malibu,2,0,7900
 1   71,1,Bebidas s/a,0,,71,Patron cafe,1,0,15250
 1   74,1,Bebidas s/a,0,,74,Cuervo gold,19,0,190690
 1   75,1,Bebidas s/a,0,,75,Patron reposado,4,0,96000
 1   79,1,Bebidas s/a,0,,79,Paloma,33,0,"387551,38"
 1   80,1,Bebidas s/a,0,,80,Margarita Agave,282,0,"3510756,5"
 1   81,1,Bebidas s/a,0,,81,Mojito Picante,57,0,692450
 1   82,1,Bebidas s/a,0,,82,Oaxacan Old Fashioned,20,0,290300
 1  119,1,Bebidas s/a,0,,119,Copa vino,167,0,"1051608,84"
 1  136,1,Bebidas s/a,0,,136,Licuado,511,0,"2442848,34"
 1  137,1,Bebidas s/a,0,,137,Limonada,4507,0,"19188201,9"
 1  138,1,Bebidas s/a,0,,138,J. Naranja,238,0,"1143271,39"
 1  139,1,Bebidas s/a,0,,139,Jugo Pomelo,72,0,363250
