id,rubro,nomrub,subrubro,nomsub,codigo,nombre,unidades,precio,venta
0000001,0,,0,,0,Art. Inexistente,415,0,"6718410,02"
 1    1,1,Bebidas s/a,0,,1,Agua sin gas,1619,0,"4167152,22"
 1    2,1,Bebidas s/a,0,,2,Agua con gas,514,0,"1363450,32"
 1    3,1,Bebidas s/a,0,,3,Pepsi,1,0,3050
 1    4,1,Bebidas s/a,0,,4,Pepsi light,1,0,"0,34"
 1    5,1,Bebidas s/a,0,,5,7up,2,0,"3350,34"
 1    8,1,Bebidas s/a,0,,8,Paso Tonica,1,0,"0,34"
 1    9,1,Bebidas s/a,0,,9,Paso DLT pomelo,2,0,4690
 1   10,1,Bebidas s/a,0,,10,Corona,1070,0,"4684432,83"
 1   13,1,Bebidas s/a,0,,13,Michelada,303,0,"1694508,44"
 1   27,1,Bebidas s/a,0,,27,Margarita FROZEN,2545,0,"11270220,7"
 1   28,1,Bebidas s/a,0,,28,Caipiroska,181,0,"1314942,08"
 1   29,1,Bebidas s/a,0,,29,Caipiroska maracuya,272,0,"2186303,72"
 1   30,1,Bebidas s/a,0,,30,Caipirinha,156,0,"1084610,03"
 1   31,1,Bebidas s/a,0,,31,Caipirinha maracuya,66,0,"563662,91"
 1   32,1,Bebidas s/a,0,,32,Daiquiri,236,0,"1746139,66"
 1   33,1,Bebidas s/a,0,,33,Mojito,187,0,"1379354,25"
 1   34,1,Bebidas s/a,0,,34,Mojito maracuya,1,0,8000
 1   35,1,Bebidas s/a,0,,35,Cuba libre,21,0,"81149,6"
 1   37,1,Bebidas s/a,0,,37,Fernet cola,275,0,"727190,74"
 1   38,1,Bebidas s/a,0,,38,Fernet amigos,1,0,4675
 1   39,1,Bebidas s/a,0,,39,MEXICAN Bulldog,410,0,"6819284,41"
 1   40,1,Bebidas s/a,0,,40,Medio Mexican,29,0,254000
 1   41,1,Bebidas s/a,0,,41,TEXAS Bulldog,72,0,"1379697,65"
 1   42,1,Bebidas s/a,0,,42,Medio texas,6,0,60400
 1   44,1,Bebidas s/a,0,,44,Gin tonic,306,0,"1748518,88"
 1   45,1,Bebidas s/a,0,,45,Negroni,25,0,"160003,95"
 1   46,1,Bebidas s/a,0,,46,Aperol Spritz,252,0,"1606379,9"
